,City,Latitude,Temperature,Cloudiness,Windspeed,Humidity
0,Barrow,-38.31,60.71,0,7.4,77
1,Rikitea,-23.12,73.4,0,17.36,100
2,Atuona,-9.8,80.47,76,18.54,100
3,Kapaa,22.08,84.02,40,14.99,62
4,Saint-Philippe,45.36,41.9,90,5.82,86
5,Calderitas,18.55,86.0,40,10.29,70
6,Comodoro Rivadavia,-45.87,57.2,75,17.22,28
7,Bluff,-23.58,70.75,8,9.15,86
8,Albany,42.65,48.02,90,6.93,82
9,Namatanai,-3.66,80.6,76,4.34,100
10,Salinas,36.67,77.0,1,11.41,47
11,Nikolskoye,59.7,35.6,90,4.47,93
12,Puerto Ayora,-0.74,78.8,90,11.41,65
13,Bredasdorp,-34.53,48.2,100,9.17,81
14,Castro,-42.48,51.17,24,7.29,71
15,Ushuaia,-54.81,46.4,75,34.45,67
16,Cape Town,-33.93,51.8,40,5.82,71
17,Coquimbo,-29.95,62.6,0,13.87,72
18,Cherskiy,68.75,7.61,80,1.54,98
19,Bombay,44.94,44.6,90,5.91,93
20,Hobart,-42.88,57.2,75,1.12,76
21,Alofi,-19.06,76.91,88,18.88,100
22,Kodiak,39.95,48.92,90,9.17,96
23,Samarai,-10.62,80.24,56,9.86,99
24,College,64.86,6.98,1,2.21,82
25,Shrewsbury,52.71,50.0,48,6.93,100
26,Douentza,15.01,77.5,20,1.21,71
27,Lazaro Cardenas,28.39,82.4,75,3.36,18
28,Cidreira,-30.17,72.1,0,18.43,70
29,Methven,-43.63,58.19,0,4.0,72
30,Hervey Bay,-25.3,75.97,76,13.96,95
31,Hong Gai,20.96,69.44,24,3.71,98
32,Hermanus,-34.42,51.67,92,6.06,70
33,Vila Franca do Campo,37.72,64.4,40,16.11,82
34,Qaanaaq,77.48,-3.51,0,8.81,100
35,Airai,-8.93,65.3,0,1.99,88
36,Te Anau,-45.41,54.82,8,4.05,76
37,Tuktoyaktuk,69.44,5.0,90,4.7,84
38,San Juan,-31.54,81.32,0,7.81,25
39,Mataura,-46.19,59.54,0,4.72,75
40,Hudson Bay,52.86,33.13,92,7.4,94
41,Gwanda,-20.94,69.71,56,5.01,69
42,Vaini,15.34,68.27,32,2.21,94
43,Chuy,-33.69,70.88,0,16.31,72
44,Axim,4.87,79.61,80,7.58,100
45,Mar del Plata,-46.43,53.87,68,19.93,44
46,Nikki,9.94,78.35,0,4.0,60
47,Nome,30.04,83.66,90,11.41,74
48,Yellowknife,62.45,1.4,20,10.29,77
49,Olinda,-2.03,84.2,75,8.05,58
50,Punta Arenas,-53.16,46.4,32,32.21,39
51,Jardim,-21.48,81.82,20,8.52,79
52,Dudinka,69.41,12.74,80,10.27,90
53,Neyshabur,36.21,32.72,36,2.37,58
54,Hilo,19.71,78.08,90,4.7,79
55,Vestmannaeyjar,63.44,33.8,80,13.89,100
56,Portland,45.52,55.94,90,9.17,80
57,Waterloo,43.47,51.8,90,8.05,93
58,Pucara,-21.7,89.6,40,11.41,50
59,Port Alfred,-33.59,59.09,88,21.83,92
60,Avarua,-21.21,78.8,75,14.99,65
61,Ankang,32.73,37.72,92,2.37,99
62,Skibbereen,51.55,44.6,20,5.82,93
63,Busselton,-33.64,54.23,56,13.89,100
64,Thompson,55.74,26.6,90,16.11,92
65,New Norfolk,-42.78,57.2,75,1.12,76
66,Sitka,37.17,64.67,0,18.37,33
67,Majene,-3.54,82.27,32,7.85,100
68,Butia,-21.88,77.0,75,4.7,69
69,Kolyshley,52.7,34.48,88,4.27,94
70,Southbridge,42.08,51.08,90,5.82,95
71,Cap Malheureux,-19.98,73.4,40,8.05,88
72,Shubarkuduk,49.15,33.13,44,7.85,93
73,Mazagao,-0.12,86.0,40,11.41,74
74,Butaritari,3.07,84.65,0,6.13,100
75,Hualmay,-11.1,72.59,12,5.91,60
76,Port Barton,10.41,78.89,92,6.02,100
77,Saint-Joseph,43.56,62.6,75,5.82,82
78,Alta Floresta,-9.87,81.1,44,1.77,86
79,Santa Maria da Vitoria,-13.39,79.3,12,2.48,74
80,Lebu,8.96,49.55,0,4.23,80
81,San Policarpo,12.18,78.58,76,9.37,100
82,Yuzhne,48.22,37.4,0,4.47,100
83,Chokurdakh,70.62,-14.58,36,3.04,66
84,La Palma,5.36,71.96,36,2.48,86
85,Torbay,47.66,35.6,40,3.36,80
86,Clyde River,70.47,-4.01,20,5.82,76
87,Geraldton,49.72,35.6,90,6.93,100
88,Pryazha,61.69,41.0,0,13.42,86
89,Richards Bay,-28.77,69.53,100,2.55,96
90,Saldanha,41.42,44.92,92,13.89,96
91,Port Elizabeth,39.31,57.2,90,14.99,93
92,Victoria,5.28,77.0,75,1.12,100
93,Shimoda,34.7,64.4,75,4.7,82
94,Rawson,-43.3,61.88,76,24.07,27
95,Upernavik,72.79,17.47,0,11.05,100
96,Souillac,45.6,57.2,90,5.82,76
97,Turinskaya Sloboda,57.62,17.51,0,3.22,89
98,Khatanga,71.98,-5.53,64,3.27,70
99,Saint George,39.45,53.6,20,2.24,81
100,Tingi,-11.3,76.01,0,4.5,100
101,Longkou,37.64,52.57,92,14.56,100
102,Georgetown,6.8,84.2,40,11.41,79
103,Yulara,-25.24,73.4,40,3.36,88
104,Ribeira Grande,38.52,68.0,40,19.46,88
105,Kiunga,-6.12,73.76,80,2.77,96
106,Beringovskiy,63.05,32.45,20,12.17,100
107,Santa Maria,-29.69,84.2,20,9.17,54
108,Yuncheng,35.03,38.93,92,2.77,100
109,Kavieng,-2.57,80.78,44,3.83,100
110,Dongsheng,29.72,49.55,92,13.96,99
111,Morondava,-20.3,70.3,0,3.49,100
112,Jamestown,-33.21,62.02,80,5.91,100
113,San Cristobal,-0.39,64.4,75,11.41,52
114,Whitefish,48.41,42.98,90,8.05,67
115,Aklavik,68.22,10.4,90,9.17,85
116,Gawler,-34.6,62.6,75,10.29,72
117,Acucena,-19.07,75.2,90,2.24,94
118,Baoshan,31.41,64.4,75,8.95,77
119,Klaksvik,62.23,35.6,24,8.52,80
120,Narsaq,60.91,14.0,20,6.93,47
121,Taoudenni,22.68,60.44,0,3.83,33
122,Gat,14.69,80.78,12,10.83,48
123,Codrington,-28.95,74.48,0,3.38,90
124,Pangnirtung,66.15,6.8,40,2.24,71
125,Tuatapere,-46.13,57.88,0,9.93,80
126,Yerbogachen,61.28,0.5,44,4.34,72
127,Aripuana,-9.17,82.13,44,1.77,84
128,Constitucion,23.99,77.0,5,8.05,29
129,Sioux Lookout,50.1,33.8,90,2.24,100
130,Areosa,41.72,53.6,40,2.24,87
131,Baykit,61.68,-5.44,44,2.48,80
132,Perez,14.19,77.77,92,17.81,100
133,Strezhevoy,60.73,3.2,75,4.47,84
134,Kirovskiy,45.09,8.33,0,2.55,66
135,Kaitangata,-46.28,59.18,0,4.61,73
136,Acajutla,13.59,89.6,20,6.93,62
137,Presidencia Roque Saenz Pena,-26.79,91.31,56,9.31,57
138,Mahebourg,-20.41,73.4,40,8.05,88
139,East London,-33.02,62.51,92,24.74,100
140,Carballo,43.21,51.8,40,9.17,76
141,Leningradskiy,69.38,23.0,88,8.25,100
142,Saskylakh,71.97,-15.07,48,3.11,67
143,Bethel,60.79,37.04,90,8.05,88
144,York,53.96,51.8,76,4.7,93
145,Isangel,-19.55,75.29,64,17.2,100
146,Hithadhoo,-0.6,82.9,68,3.6,100
147,Susanville,40.42,59.0,1,4.7,18
148,Nanortalik,60.14,26.65,0,36.66,100
149,Dondo,-19.62,73.4,20,8.05,69
150,Kuytun,54.34,23.36,76,3.83,72
151,Namibe,-15.19,72.73,0,8.93,100
152,Rockland,42.13,55.04,90,10.29,73
153,Toul,48.68,48.2,8,2.24,93
154,Nemuro,43.32,54.32,44,8.81,98
155,Tautira,-17.73,86.0,75,12.75,70
156,San Patricio,-26.98,86.05,56,2.48,75
157,Yancheng,33.39,57.2,100,7.07,90
158,Binga,-17.62,73.72,12,3.22,73
159,Dikson,73.51,17.15,80,25.48,100
160,Pevek,69.7,15.13,88,1.21,100
161,Mumford,5.26,79.93,8,9.15,87
162,Syracuse,43.05,48.92,75,8.05,74
163,Kamenka,53.19,34.97,88,3.33,99
164,Muswellbrook,-32.27,69.8,88,3.33,79
165,Arraial do Cabo,-22.97,73.4,90,5.82,73
166,Daltenganj,24.03,67.87,32,3.0,85
167,Ixtapa,20.71,84.2,75,9.17,74
168,Santa Cruz del Sur,20.71,85.37,36,12.77,61
169,Mount Gambier,-37.83,54.5,0,3.56,93
170,Kondinskoye,59.65,7.07,0,2.77,87
171,Okha,53.59,18.5,64,5.28,100
172,Carnarvon,-30.97,42.35,0,15.41,46
173,Segezha,63.74,40.87,88,9.64,88
174,Tolu,35.81,64.4,90,10.29,86
175,Tomatlan,19.93,84.25,20,4.38,68
176,Chilliwack,49.17,55.04,75,8.05,71
177,Kahului,20.89,84.92,1,21.92,63
178,Saint-Francois,46.42,55.4,0,4.7,76
179,Margate,-43.03,57.2,75,1.12,76
180,Lompoc,34.64,80.96,1,12.75,56
181,Teya,21.05,91.4,75,9.17,49
182,Faanui,-16.48,80.87,36,11.16,100
183,Iqaluit,63.75,10.4,90,6.93,78
184,Wertheim,49.76,53.06,1,5.82,85
185,Mazatlan,23.22,87.8,5,6.93,55
186,Vredendal,-31.68,50.32,0,7.07,61
187,Gigmoto,13.78,80.96,64,15.35,100
188,Narok,-1.09,61.75,0,7.92,66
189,Maniitsoq,65.42,11.66,0,5.61,100
190,Grindavik,63.84,33.8,75,12.75,74
191,Berlevag,70.86,44.6,40,25.28,75
192,Gland,46.42,46.4,32,1.12,100
193,Miraflores,5.2,56.21,68,1.59,99
194,Kulhudhuffushi,6.62,82.22,12,3.56,100
195,Grand Gaube,-20.01,73.4,40,8.05,88
196,Manzanillo,20.34,84.7,44,13.33,94
197,Shalakusha,62.23,38.35,88,9.93,93
198,Krasnyye Baki,57.13,33.08,80,4.38,95
199,Nyzhnya Duvanka,49.58,29.35,0,2.89,84
200,Malindi,-3.22,78.22,92,8.3,91
201,Padang,-0.92,76.73,92,2.82,100
202,Nilopolis,-22.81,73.4,90,9.17,68
203,Sorong,-0.86,78.62,76,10.6,100
204,Petropavlovsk-Kamchatskiy,53.05,28.4,24,6.71,74
205,Broome,52.47,52.34,12,6.93,93
206,Vanimo,-2.67,82.0,24,3.49,100
207,Bridlington,54.08,51.8,24,4.7,93
208,Guerrero Negro,27.97,78.98,0,8.63,51
209,Hasaki,35.73,60.8,75,2.24,100
210,Kurilsk,45.23,48.65,68,7.07,100
211,Taunton,41.9,55.04,90,10.29,73
212,Flinders,-34.58,75.2,0,11.41,50
213,Qaqortoq,60.72,14.0,0,5.82,47
214,Prince Rupert,54.32,48.2,90,3.11,81
215,La Playa,11.04,75.2,75,4.7,100
216,Ambilobe,-13.19,72.55,0,7.36,84
217,Santa Isabel,4.71,73.4,90,9.17,100
218,Kostomuksha,64.59,37.58,48,7.36,93
219,Lekoni,-1.58,72.1,76,3.04,92
220,Preobrazheniye,42.9,22.33,48,2.1,77
221,Lata,30.78,35.6,0,2.89,69
222,Aksu,52.04,35.6,0,13.42,80
223,Melita,49.27,35.47,92,12.88,91
224,Aginskoye,51.11,5.95,0,6.51,61
225,Jambi,-1.6,73.94,20,2.48,96
226,Portel,38.31,45.82,8,6.29,91
227,Evensk,61.92,14.95,36,5.84,100
228,Shizunai,42.33,39.97,0,2.71,98
229,Dingle,11.0,77.81,44,10.76,90
230,Kampene,-3.59,71.69,48,2.37,91
231,Krasnogorsk,55.82,32.0,76,5.12,92
232,Bajil,38.23,45.05,20,13.62,78
233,Reguengos de Monsaraz,38.42,45.82,8,6.29,91
234,Bambous Virieux,-20.34,73.4,40,8.05,88
235,Port Moresby,-9.47,78.8,40,3.36,83
236,Marsh Harbour,26.54,80.96,80,12.17,100
237,Poum,41.28,46.4,20,4.7,70
238,Tawang,27.59,33.71,0,1.48,89
239,Ponta do Sol,-20.63,67.55,92,4.83,98
240,Lapua,62.97,46.4,90,4.7,100
241,Sao Felix do Xingu,-6.64,79.12,56,1.77,89
242,Dafeng,33.2,61.3,88,10.54,77
243,Okhotsk,59.36,3.47,44,6.62,100
244,Mangalia,43.8,53.6,90,11.41,87
245,Eirunepe,-6.66,86.45,0,2.48,79
246,Grand Baie,-20.02,73.4,40,8.05,88
247,Nakusp,50.24,33.53,88,1.54,91
248,Kruisfontein,-34.0,55.94,44,24.58,86
249,Kibala,9.11,82.4,0,4.7,69
250,Yarmouth,50.71,51.8,48,1.12,100
251,Kloulklubed,7.04,78.8,75,9.93,88
252,Nagapattinam,10.76,79.16,36,9.37,80
253,Cayenne,4.94,84.2,20,5.82,74
254,Port Augusta,-32.49,62.6,90,5.82,88
255,Eyrarbakki,63.86,32.0,90,11.41,100
256,Maragogi,-9.01,78.44,100,10.38,81
257,San Vicente,13.64,86.0,20,4.7,66
258,Ordu,40.98,40.19,32,1.81,90
259,Sangmelima,2.93,68.05,0,2.1,94
260,Abu Samrah,35.3,56.21,92,7.36,99
261,Cabedelo,-6.97,78.8,40,9.17,78
262,Fort Nelson,58.81,17.6,90,2.24,78
263,Ambulu,-8.35,77.63,64,3.78,100
264,Natchez,31.56,75.2,75,10.29,83
265,Totskoye,52.53,34.48,76,6.29,97
266,Sola,58.89,48.2,20,4.7,81
267,Broken Hill,-31.97,73.85,20,14.29,69
268,Tateyama,36.66,48.2,100,1.7,100
269,Serebryansk,49.68,35.6,90,8.95,64
270,Bayan,47.25,1.9,0,6.29,58
271,Werda,50.44,46.4,75,6.93,93
272,Vardo,39.62,53.6,90,4.7,89
273,Jutai,-1.71,81.41,48,4.38,81
274,Mujiayingzi,42.12,17.96,0,5.61,67
275,Bar Harbor,44.39,42.8,90,3.36,81
276,Semnan,35.58,48.2,0,2.24,31
277,Kenai,60.55,28.04,1,3.36,84
278,Yar-Sale,66.83,16.52,92,25.59,98
279,Moranbah,-22.0,68.63,0,5.73,87
280,Imbituba,-28.24,73.4,20,8.05,60
281,Barcelona,41.38,59.0,40,19.46,82
282,Bubaque,11.28,84.2,20,4.7,70
283,Esperance,10.24,82.4,20,4.12,83
284,Adrar,27.87,71.6,0,5.82,28
285,Kazachinskoye,57.69,29.57,80,6.24,92
286,Egvekinot,66.32,21.65,88,4.12,96
287,Soto la Marina,23.77,89.96,8,8.08,48
288,Yagodnoye,62.52,-18.76,0,3.11,73
289,Mangan,27.5,28.31,36,0.98,95
290,Mitsamiouli,-11.38,77.0,20,8.05,78
291,Krynychky,48.37,37.4,0,11.18,86
292,Norman Wells,65.28,3.2,75,2.24,84
293,Nhulunbuy,-12.18,77.0,0,7.63,88
294,Coihaique,-45.58,48.2,90,5.82,75
